SKU,Order,Delivery Date,Description
15668519,6459069,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,6804085,2014-06-25,DAILY BREAD_Bread  Sandwich
15668519,6623451,2014-08-06,DAILY BREAD_Bread  Sandwich
15668519,8023489,2014-05-03,DAILY BREAD_Bread  Sandwich
15668519,6775415,2014-07-06,DAILY BREAD_Bread  Sandwich
15668519,7968031,2014-05-07,DAILY BREAD_Bread  Sandwich
15668519,7921765,2014-06-06,DAILY BREAD_Bread  Sandwich
15668519,8051816,2014-04-19,DAILY BREAD_Bread  Sandwich
15668519,6590686,2014-08-16,DAILY BREAD_Bread  Sandwich
15668519,6431730,2014-10-01,DAILY BREAD_Bread  Sandwich
15668519,6718165,2014-07-09,DAILY BREAD_Bread  Sandwich
15668519,7931726,2014-05-17,DAILY BREAD_Bread  Sandwich
15668519,6623587,2014-08-07,DAILY BREAD_Bread  Sandwich
15668519,6652396,2014-07-28,DAILY BREAD_Bread  Sandwich
15668519,6725833,2014-07-11,DAILY BREAD_Bread  Sandwich
15668519,6466780,2014-09-23,DAILY BREAD_Bread  Sandwich
15668519,6652809,2014-07-28,DAILY BREAD_Bread  Sandwich
15668519,7997450,2014-04-23,DAILY BREAD_Bread  Sandwich
15668519,6570077,2014-08-30,DAILY BREAD_Bread  Sandwich
15668519,7955128,2014-05-26,DAILY BREAD_Bread  Sandwich
15668519,6676680,2014-08-04,DAILY BREAD_Bread  Sandwich
15668519,6472107,2014-09-25,DAILY BREAD_Bread  Sandwich
15668519,6541076,2014-09-08,DAILY BREAD_Bread  Sandwich
15668519,6589817,2014-08-16,DAILY BREAD_Bread  Sandwich
15668519,8024249,2014-05-04,DAILY BREAD_Bread  Sandwich
15668519,6439012,2014-10-04,DAILY BREAD_Bread  Sandwich
15668519,6611906,2014-08-23,DAILY BREAD_Bread  Sandwich
15668519,6630556,2014-08-09,DAILY BREAD_Bread  Sandwich
15668519,6469924,2014-09-24,DAILY BREAD_Bread  Sandwich
15668519,6586163,2014-09-03,DAILY BREAD_Bread  Sandwich
15668519,6501995,2014-09-15,DAILY BREAD_Bread  Sandwich
15668519,6475219,2014-09-26,DAILY BREAD_Bread  Sandwich
15668519,6440895,2014-10-04,DAILY BREAD_Bread  Sandwich
15668519,6456576,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,6814900,2014-06-29,DAILY BREAD_Bread  Sandwich
15668519,6594722,2014-08-17,DAILY BREAD_Bread  Sandwich
15668519,6505443,2014-09-15,DAILY BREAD_Bread  Sandwich
